,年齢階級,運動習慣の有無,性別,歩行数,時間軸(年次),人数,割合
85,(再掲)20歳以上,総数,男性,"8,000歩-9,999歩",2009年,288.0,15.5
86,(再掲)20歳以上,総数,男性,総数,2009年,1861.0,100.0
87,(再掲)20歳以上,総数,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,494.0,26.5
88,(再掲)20歳以上,総数,総数,"10,000歩以上",2009年,814.0,17.8
89,(再掲)20歳以上,総数,総数,"2,000歩-3,999歩",2009年,854.0,18.7
90,(再掲)20歳以上,総数,総数,"2,000歩未満",2009年,489.0,10.7
91,(再掲)20歳以上,総数,総数,"4,000歩-5,999歩",2009年,929.0,20.3
92,(再掲)20歳以上,総数,総数,"6,000歩-7,999歩",2009年,827.0,18.1
93,(再掲)20歳以上,総数,総数,"8,000歩-9,999歩",2009年,655.0,14.3
94,(再掲)20歳以上,総数,総数,総数,2009年,4568.0,100.0
95,(再掲)20歳以上,総数,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,1218.0,26.7
96,(再掲)65歳-74歳,有,女性,"10,000歩以上",2009年,74.0,16.3
97,(再掲)65歳-74歳,有,女性,"10,000歩以上",2010年,43.0,17.3
98,(再掲)65歳-74歳,有,女性,"2,000歩-3,999歩",2009年,80.0,17.6
99,(再掲)65歳-74歳,有,女性,"2,000歩-3,999歩",2010年,44.0,17.7
100,(再掲)65歳-74歳,有,女性,"2,000歩未満",2009年,30.0,6.6
101,(再掲)65歳-74歳,有,女性,"2,000歩未満",2010年,8.0,3.2
102,(再掲)65歳-74歳,有,女性,"4,000歩-5,999歩",2009年,98.0,21.6
103,(再掲)65歳-74歳,有,女性,"4,000歩-5,999歩",2010年,45.0,18.1
104,(再掲)65歳-74歳,有,女性,"6,000歩-7,999歩",2009年,94.0,20.7
105,(再掲)65歳-74歳,有,女性,"6,000歩-7,999歩",2010年,59.0,23.8
106,(再掲)65歳-74歳,有,女性,"8,000歩-9,999歩",2009年,78.0,17.2
107,(再掲)65歳-74歳,有,女性,"8,000歩-9,999歩",2010年,49.0,19.8
108,(再掲)65歳-74歳,有,女性,総数,2009年,454.0,100.0
109,(再掲)65歳-74歳,有,女性,総数,2010年,248.0,100.0
110,(再掲)65歳-74歳,有,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,134.0,29.5
111,(再掲)65歳-74歳,有,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,85.0,34.3
112,(再掲)65歳-74歳,有,男性,"10,000歩以上",2009年,116.0,27.4
113,(再掲)65歳-74歳,有,男性,"10,000歩以上",2010年,82.0,34.7
114,(再掲)65歳-74歳,有,男性,"2,000歩-3,999歩",2009年,74.0,17.5
115,(再掲)65歳-74歳,有,男性,"2,000歩-3,999歩",2010年,24.0,10.2
116,(再掲)65歳-74歳,有,男性,"2,000歩未満",2009年,14.0,3.3
117,(再掲)65歳-74歳,有,男性,"2,000歩未満",2010年,10.0,4.2
118,(再掲)65歳-74歳,有,男性,"4,000歩-5,999歩",2009年,74.0,17.5
119,(再掲)65歳-74歳,有,男性,"4,000歩-5,999歩",2010年,47.0,19.9
120,(再掲)65歳-74歳,有,男性,"6,000歩-7,999歩",2009年,84.0,19.8
121,(再掲)65歳-74歳,有,男性,"6,000歩-7,999歩",2010年,38.0,16.1
122,(再掲)65歳-74歳,有,男性,"8,000歩-9,999歩",2009年,62.0,14.6
123,(再掲)65歳-74歳,有,男性,"8,000歩-9,999歩",2010年,35.0,14.8
124,(再掲)65歳-74歳,有,男性,総数,2009年,424.0,100.0
125,(再掲)65歳-74歳,有,男性,総数,2010年,236.0,100.0
126,(再掲)65歳-74歳,有,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,148.0,34.9
127,(再掲)65歳-74歳,有,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,99.0,41.9
128,(再掲)65歳-74歳,有,総数,"10,000歩以上",2009年,190.0,21.6
129,(再掲)65歳-74歳,有,総数,"10,000歩以上",2010年,125.0,25.8
130,(再掲)65歳-74歳,有,総数,"2,000歩-3,999歩",2009年,154.0,17.5
131,(再掲)65歳-74歳,有,総数,"2,000歩-3,999歩",2010年,68.0,14.0
132,(再掲)65歳-74歳,有,総数,"2,000歩未満",2009年,44.0,5.0
133,(再掲)65歳-74歳,有,総数,"2,000歩未満",2010年,18.0,3.7
134,(再掲)65歳-74歳,有,総数,"4,000歩-5,999歩",2009年,172.0,19.6
135,(再掲)65歳-74歳,有,総数,"4,000歩-5,999歩",2010年,92.0,19.0
136,(再掲)65歳-74歳,有,総数,"6,000歩-7,999歩",2009年,178.0,20.3
137,(再掲)65歳-74歳,有,総数,"6,000歩-7,999歩",2010年,97.0,20.0
138,(再掲)65歳-74歳,有,総数,"8,000歩-9,999歩",2009年,140.0,15.9
139,(再掲)65歳-74歳,有,総数,"8,000歩-9,999歩",2010年,84.0,17.4
140,(再掲)65歳-74歳,有,総数,総数,2009年,878.0,100.0
141,(再掲)65歳-74歳,有,総数,総数,2010年,484.0,100.0
142,(再掲)65歳-74歳,有,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,282.0,32.1
143,(再掲)65歳-74歳,有,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,184.0,38.0
144,(再掲)65歳-74歳,無_その他,女性,"10,000歩以上",2009年,38.0,7.0
145,(再掲)65歳-74歳,無_その他,女性,"10,000歩以上",2010年,21.0,7.8
146,(再掲)65歳-74歳,無_その他,女性,"2,000歩-3,999歩",2009年,178.0,32.7
147,(再掲)65歳-74歳,無_その他,女性,"2,000歩-3,999歩",2010年,67.0,25.0
148,(再掲)65歳-74歳,無_その他,女性,"2,000歩未満",2009年,66.0,12.1
149,(再掲)65歳-74歳,無_その他,女性,"2,000歩未満",2010年,41.0,15.3
150,(再掲)65歳-74歳,無_その他,女性,"4,000歩-5,999歩",2009年,94.0,17.3
151,(再掲)65歳-74歳,無_その他,女性,"4,000歩-5,999歩",2010年,64.0,23.9
152,(再掲)65歳-74歳,無_その他,女性,"6,000歩-7,999歩",2009年,124.0,22.8
153,(再掲)65歳-74歳,無_その他,女性,"6,000歩-7,999歩",2010年,40.0,14.9
154,(再掲)65歳-74歳,無_その他,女性,"8,000歩-9,999歩",2009年,44.0,8.1
155,(再掲)65歳-74歳,無_その他,女性,"8,000歩-9,999歩",2010年,35.0,13.1
156,(再掲)65歳-74歳,無_その他,女性,総数,2009年,544.0,100.0
157,(再掲)65歳-74歳,無_その他,女性,総数,2010年,268.0,100.0
158,(再掲)65歳-74歳,無_その他,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,74.0,13.6
159,(再掲)65歳-74歳,無_その他,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,51.0,19.0
160,(再掲)65歳-74歳,無_その他,男性,"10,000歩以上",2009年,38.0,9.9
161,(再掲)65歳-74歳,無_その他,男性,"10,000歩以上",2010年,28.0,14.7
162,(再掲)65歳-74歳,無_その他,男性,"2,000歩-3,999歩",2009年,98.0,25.5
163,(再掲)65歳-74歳,無_その他,男性,"2,000歩-3,999歩",2010年,46.0,24.2
164,(再掲)65歳-74歳,無_その他,男性,"2,000歩未満",2009年,54.0,14.1
165,(再掲)65歳-74歳,無_その他,男性,"2,000歩未満",2010年,41.0,21.6
166,(再掲)65歳-74歳,無_その他,男性,"4,000歩-5,999歩",2009年,96.0,25.0
167,(再掲)65歳-74歳,無_その他,男性,"4,000歩-5,999歩",2010年,36.0,18.9
168,(再掲)65歳-74歳,無_その他,男性,"6,000歩-7,999歩",2009年,54.0,14.1
169,(再掲)65歳-74歳,無_その他,男性,"6,000歩-7,999歩",2010年,32.0,16.8
170,(再掲)65歳-74歳,無_その他,男性,"8,000歩-9,999歩",2009年,44.0,11.5
171,(再掲)65歳-74歳,無_その他,男性,"8,000歩-9,999歩",2010年,7.0,3.7
172,(再掲)65歳-74歳,無_その他,男性,総数,2009年,384.0,100.0
173,(再掲)65歳-74歳,無_その他,男性,総数,2010年,190.0,100.0
174,(再掲)65歳-74歳,無_その他,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,48.0,12.5
175,(再掲)65歳-74歳,無_その他,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,30.0,15.8
176,(再掲)65歳-74歳,無_その他,総数,"10,000歩以上",2009年,76.0,8.2
177,(再掲)65歳-74歳,無_その他,総数,"10,000歩以上",2010年,49.0,10.7
178,(再掲)65歳-74歳,無_その他,総数,"2,000歩-3,999歩",2009年,276.0,29.7
179,(再掲)65歳-74歳,無_その他,総数,"2,000歩-3,999歩",2010年,113.0,24.7
180,(再掲)65歳-74歳,無_その他,総数,"2,000歩未満",2009年,120.0,12.9
181,(再掲)65歳-74歳,無_その他,総数,"2,000歩未満",2010年,82.0,17.9
182,(再掲)65歳-74歳,無_その他,総数,"4,000歩-5,999歩",2009年,190.0,20.5
183,(再掲)65歳-74歳,無_その他,総数,"4,000歩-5,999歩",2010年,100.0,21.8
184,(再掲)65歳-74歳,無_その他,総数,"6,000歩-7,999歩",2009年,178.0,19.2
185,(再掲)65歳-74歳,無_その他,総数,"6,000歩-7,999歩",2010年,72.0,15.7
186,(再掲)65歳-74歳,無_その他,総数,"8,000歩-9,999歩",2009年,88.0,9.5
187,(再掲)65歳-74歳,無_その他,総数,"8,000歩-9,999歩",2010年,42.0,9.2
188,(再掲)65歳-74歳,無_その他,総数,総数,2009年,928.0,100.0
189,(再掲)65歳-74歳,無_その他,総数,総数,2010年,458.0,100.0
190,(再掲)65歳-74歳,無_その他,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,122.0,13.1
191,(再掲)65歳-74歳,無_その他,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,81.0,17.7
192,(再掲)65歳-74歳,無_健康上の理由,女性,"10,000歩以上",2009年,2.0,1.5
193,(再掲)65歳-74歳,無_健康上の理由,女性,"10,000歩以上",2010年,0.0,0.0
194,(再掲)65歳-74歳,無_健康上の理由,女性,"2,000歩-3,999歩",2009年,38.0,28.4
195,(再掲)65歳-74歳,無_健康上の理由,女性,"2,000歩-3,999歩",2010年,21.0,40.4
196,(再掲)65歳-74歳,無_健康上の理由,女性,"2,000歩未満",2009年,52.0,38.8
197,(再掲)65歳-74歳,無_健康上の理由,女性,"2,000歩未満",2010年,18.0,34.6
198,(再掲)65歳-74歳,無_健康上の理由,女性,"4,000歩-5,999歩",2009年,18.0,13.4
199,(再掲)65歳-74歳,無_健康上の理由,女性,"4,000歩-5,999歩",2010年,5.0,9.6
200,(再掲)65歳-74歳,無_健康上の理由,女性,"6,000歩-7,999歩",2009年,18.0,13.4
201,(再掲)65歳-74歳,無_健康上の理由,女性,"6,000歩-7,999歩",2010年,3.0,5.8
202,(再掲)65歳-74歳,無_健康上の理由,女性,"8,000歩-9,999歩",2009年,6.0,4.5
203,(再掲)65歳-74歳,無_健康上の理由,女性,"8,000歩-9,999歩",2010年,5.0,9.6
204,(再掲)65歳-74歳,無_健康上の理由,女性,総数,2009年,134.0,100.0
205,(再掲)65歳-74歳,無_健康上の理由,女性,総数,2010年,52.0,100.0
206,(再掲)65歳-74歳,無_健康上の理由,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,6.0,4.5
207,(再掲)65歳-74歳,無_健康上の理由,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,4.0,7.7
208,(再掲)65歳-74歳,無_健康上の理由,男性,"10,000歩以上",2009年,2.0,3.4
209,(再掲)65歳-74歳,無_健康上の理由,男性,"10,000歩以上",2010年,3.0,14.3
210,(再掲)65歳-74歳,無_健康上の理由,男性,"2,000歩-3,999歩",2009年,20.0,34.5
211,(再掲)65歳-74歳,無_健康上の理由,男性,"2,000歩-3,999歩",2010年,5.0,23.8
212,(再掲)65歳-74歳,無_健康上の理由,男性,"2,000歩未満",2009年,16.0,27.6
213,(再掲)65歳-74歳,無_健康上の理由,男性,"2,000歩未満",2010年,7.0,33.3
214,(再掲)65歳-74歳,無_健康上の理由,男性,"4,000歩-5,999歩",2009年,8.0,13.8
215,(再掲)65歳-74歳,無_健康上の理由,男性,"4,000歩-5,999歩",2010年,4.0,19.0
216,(再掲)65歳-74歳,無_健康上の理由,男性,"6,000歩-7,999歩",2009年,8.0,13.8
217,(再掲)65歳-74歳,無_健康上の理由,男性,"6,000歩-7,999歩",2010年,1.0,4.8
218,(再掲)65歳-74歳,無_健康上の理由,男性,"8,000歩-9,999歩",2009年,4.0,6.9
219,(再掲)65歳-74歳,無_健康上の理由,男性,"8,000歩-9,999歩",2010年,1.0,4.8
220,(再掲)65歳-74歳,無_健康上の理由,男性,総数,2009年,58.0,100.0
221,(再掲)65歳-74歳,無_健康上の理由,男性,総数,2010年,21.0,100.0
222,(再掲)65歳-74歳,無_健康上の理由,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,4.0,6.9
223,(再掲)65歳-74歳,無_健康上の理由,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,3.0,14.3
224,(再掲)65歳-74歳,無_健康上の理由,総数,"10,000歩以上",2009年,4.0,2.1
225,(再掲)65歳-74歳,無_健康上の理由,総数,"10,000歩以上",2010年,3.0,4.1
226,(再掲)65歳-74歳,無_健康上の理由,総数,"2,000歩-3,999歩",2009年,58.0,30.2
227,(再掲)65歳-74歳,無_健康上の理由,総数,"2,000歩-3,999歩",2010年,26.0,35.6
228,(再掲)65歳-74歳,無_健康上の理由,総数,"2,000歩未満",2009年,68.0,35.4
229,(再掲)65歳-74歳,無_健康上の理由,総数,"2,000歩未満",2010年,25.0,34.2
230,(再掲)65歳-74歳,無_健康上の理由,総数,"4,000歩-5,999歩",2009年,26.0,13.5
231,(再掲)65歳-74歳,無_健康上の理由,総数,"4,000歩-5,999歩",2010年,9.0,12.3
232,(再掲)65歳-74歳,無_健康上の理由,総数,"6,000歩-7,999歩",2009年,26.0,13.5
233,(再掲)65歳-74歳,無_健康上の理由,総数,"6,000歩-7,999歩",2010年,4.0,5.5
234,(再掲)65歳-74歳,無_健康上の理由,総数,"8,000歩-9,999歩",2009年,10.0,5.2
235,(再掲)65歳-74歳,無_健康上の理由,総数,"8,000歩-9,999歩",2010年,6.0,8.2
236,(再掲)65歳-74歳,無_健康上の理由,総数,総数,2009年,192.0,100.0
237,(再掲)65歳-74歳,無_健康上の理由,総数,総数,2010年,73.0,100.0
238,(再掲)65歳-74歳,無_健康上の理由,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,10.0,5.2
239,(再掲)65歳-74歳,無_健康上の理由,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,7.0,9.6
240,(再掲)65歳-74歳,総数,女性,"10,000歩以上",2009年,114.0,10.1
241,(再掲)65歳-74歳,総数,女性,"10,000歩以上",2010年,64.0,11.3
242,(再掲)65歳-74歳,総数,女性,"2,000歩-3,999歩",2009年,296.0,26.1
243,(再掲)65歳-74歳,総数,女性,"2,000歩-3,999歩",2010年,132.0,23.2
244,(再掲)65歳-74歳,総数,女性,"2,000歩未満",2009年,148.0,13.1
245,(再掲)65歳-74歳,総数,女性,"2,000歩未満",2010年,67.0,11.8
246,(再掲)65歳-74歳,総数,女性,"4,000歩-5,999歩",2009年,210.0,18.6
247,(再掲)65歳-74歳,総数,女性,"4,000歩-5,999歩",2010年,114.0,20.1
248,(再掲)65歳-74歳,総数,女性,"6,000歩-7,999歩",2009年,236.0,20.8
249,(再掲)65歳-74歳,総数,女性,"6,000歩-7,999歩",2010年,102.0,18.0
250,(再掲)65歳-74歳,総数,女性,"8,000歩-9,999歩",2009年,128.0,11.3
251,(再掲)65歳-74歳,総数,女性,"8,000歩-9,999歩",2010年,89.0,15.7
252,(再掲)65歳-74歳,総数,女性,総数,2009年,1132.0,100.0
253,(再掲)65歳-74歳,総数,女性,総数,2010年,568.0,100.0
254,(再掲)65歳-74歳,総数,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,214.0,18.9
255,(再掲)65歳-74歳,総数,女性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,140.0,24.6
256,(再掲)65歳-74歳,総数,男性,"10,000歩以上",2009年,156.0,18.0
257,(再掲)65歳-74歳,総数,男性,"10,000歩以上",2010年,113.0,25.3
258,(再掲)65歳-74歳,総数,男性,"2,000歩-3,999歩",2009年,192.0,22.2
259,(再掲)65歳-74歳,総数,男性,"2,000歩-3,999歩",2010年,75.0,16.8
260,(再掲)65歳-74歳,総数,男性,"2,000歩未満",2009年,84.0,9.7
261,(再掲)65歳-74歳,総数,男性,"2,000歩未満",2010年,58.0,13.0
262,(再掲)65歳-74歳,総数,男性,"4,000歩-5,999歩",2009年,178.0,20.6
263,(再掲)65歳-74歳,総数,男性,"4,000歩-5,999歩",2010年,87.0,19.5
264,(再掲)65歳-74歳,総数,男性,"6,000歩-7,999歩",2009年,146.0,16.9
265,(再掲)65歳-74歳,総数,男性,"6,000歩-7,999歩",2010年,71.0,15.9
266,(再掲)65歳-74歳,総数,男性,"8,000歩-9,999歩",2009年,110.0,12.7
267,(再掲)65歳-74歳,総数,男性,"8,000歩-9,999歩",2010年,43.0,9.6
268,(再掲)65歳-74歳,総数,男性,総数,2009年,866.0,100.0
269,(再掲)65歳-74歳,総数,男性,総数,2010年,447.0,100.0
270,(再掲)65歳-74歳,総数,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,200.0,23.1
271,(再掲)65歳-74歳,総数,男性,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,132.0,29.5
272,(再掲)65歳-74歳,総数,総数,"10,000歩以上",2009年,270.0,13.5
273,(再掲)65歳-74歳,総数,総数,"10,000歩以上",2010年,177.0,17.4
274,(再掲)65歳-74歳,総数,総数,"2,000歩-3,999歩",2009年,488.0,24.4
275,(再掲)65歳-74歳,総数,総数,"2,000歩-3,999歩",2010年,207.0,20.4
276,(再掲)65歳-74歳,総数,総数,"2,000歩未満",2009年,232.0,11.6
277,(再掲)65歳-74歳,総数,総数,"2,000歩未満",2010年,125.0,12.3
278,(再掲)65歳-74歳,総数,総数,"4,000歩-5,999歩",2009年,388.0,19.4
279,(再掲)65歳-74歳,総数,総数,"4,000歩-5,999歩",2010年,201.0,19.8
280,(再掲)65歳-74歳,総数,総数,"6,000歩-7,999歩",2009年,382.0,19.1
281,(再掲)65歳-74歳,総数,総数,"6,000歩-7,999歩",2010年,173.0,17.0
282,(再掲)65歳-74歳,総数,総数,"8,000歩-9,999歩",2009年,238.0,11.9
283,(再掲)65歳-74歳,総数,総数,"8,000歩-9,999歩",2010年,132.0,13.0
284,(再掲)65歳-74歳,総数,総数,総数,2009年,1998.0,100.0
285,(再掲)65歳-74歳,総数,総数,総数,2010年,1015.0,100.0
286,(再掲)65歳-74歳,総数,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2009年,414.0,20.7
287,(再掲)65歳-74歳,総数,総数,"（再掲）9,200歩(男)/8,300歩(女)以上",2010年,272.0,26.8
288,(再掲)75歳以上,有,女性,"10,000歩以上",2009年,14.0,5.9
289,(再掲)75歳以上,有,女性,"10,000歩以上",2010年,4.0,3.8
290,(再掲)75歳以上,有,女性,"2,000歩-3,999歩",2009年,48.0,20.2
291,(再掲)75歳以上,有,女性,"2,000歩-3,999歩",2010年,35.0,33.0
292,(再掲)75歳以上,有,女性,"2,000歩未満",2009年,44.0,18.5
293,(再掲)75歳以上,有,女性,"2,000歩未満",2010年,17.0,16.0
294,(再掲)75歳以上,有,女性,"4,000歩-5,999歩",2009年,60.0,25.2
295,(再掲)75歳以上,有,女性,"4,000歩-5,999歩",2010年,22.0,20.8
296,(再掲)75歳以上,有,女性,"6,000歩-7,999歩",2009年,40.0,16.8
297,(再掲)75歳以上,有,女性,"6,000歩-7,999歩",2010年,20.0,18.9
298,(再掲)75歳以上,有,女性,"8,000歩-9,999歩",2009年,32.0,13.4
299,(再掲)75歳以上,有,女性,"8,000歩-9,999歩",2010年,8.0,7.5
300,(再掲)75歳以上,有,女性,総数,2009年,238.0,100.0
