,年齢階級,回答（はい・いいえ）,性別,歩数を増やすことの意識,時間軸(年次),人数,平均値
25,20歳-29歳,いいえ,総数,病気など健康上の理由から増やせないと思う,2010年,577.0,7734.0
26,20歳-29歳,いいえ,総数,面倒だから増やせないと思う,2010年,516.0,7806.0
27,20歳-29歳,はい,女性,あてはまるものがない,2010年,7.0,7935.0
28,20歳-29歳,はい,女性,家事でよく身体を動かすようにすれば増やせると思う,2010年,50.0,6322.0
29,20歳-29歳,はい,女性,意識的に歩くように心がければ増やせると思う,2010年,180.0,7016.0
30,20歳-29歳,はい,女性,時間がないから増やせないと思う,2010年,59.0,7599.0
31,20歳-29歳,はい,女性,歩くことが好きではないから増やせないと思う,2010年,16.0,6116.0
32,20歳-29歳,はい,女性,歩く場所がないから増やせないと思う,2010年,8.0,8523.0
33,20歳-29歳,はい,女性,現在、十分に歩いているから増やせないと思う,2010年,24.0,10043.0
34,20歳-29歳,はい,女性,病気など健康上の理由から増やせないと思う,2010年,3.0,3473.0
35,20歳-29歳,はい,女性,面倒だから増やせないと思う,2010年,39.0,6915.0
36,20歳-29歳,はい,男性,あてはまるものがない,2010年,11.0,7714.0
37,20歳-29歳,はい,男性,家事でよく身体を動かすようにすれば増やせると思う,2010年,12.0,9312.0
38,20歳-29歳,はい,男性,意識的に歩くように心がければ増やせると思う,2010年,163.0,8395.0
39,20歳-29歳,はい,男性,時間がないから増やせないと思う,2010年,29.0,7135.0
40,20歳-29歳,はい,男性,歩くことが好きではないから増やせないと思う,2010年,13.0,6240.0
41,20歳-29歳,はい,男性,歩く場所がないから増やせないと思う,2010年,3.0,5084.0
42,20歳-29歳,はい,男性,現在、十分に歩いているから増やせないと思う,2010年,39.0,11337.0
43,20歳-29歳,はい,男性,病気など健康上の理由から増やせないと思う,2010年,3.0,2282.0
44,20歳-29歳,はい,男性,面倒だから増やせないと思う,2010年,28.0,6508.0
45,20歳-29歳,はい,総数,あてはまるものがない,2010年,18.0,7800.0
46,20歳-29歳,はい,総数,家事でよく身体を動かすようにすれば増やせると思う,2010年,62.0,6901.0
47,20歳-29歳,はい,総数,意識的に歩くように心がければ増やせると思う,2010年,343.0,7671.0
48,20歳-29歳,はい,総数,時間がないから増やせないと思う,2010年,88.0,7446.0
49,20歳-29歳,はい,総数,歩くことが好きではないから増やせないと思う,2010年,29.0,6172.0
50,20歳-29歳,はい,総数,歩く場所がないから増やせないと思う,2010年,11.0,7585.0
51,20歳-29歳,はい,総数,現在、十分に歩いているから増やせないと思う,2010年,63.0,10844.0
52,20歳-29歳,はい,総数,病気など健康上の理由から増やせないと思う,2010年,6.0,2878.0
53,20歳-29歳,はい,総数,面倒だから増やせないと思う,2010年,67.0,6745.0
54,30歳-39歳,いいえ,女性,あてはまるものがない,2010年,548.0,6685.0
55,30歳-39歳,いいえ,女性,家事でよく身体を動かすようにすれば増やせると思う,2010年,418.0,6583.0
56,30歳-39歳,いいえ,女性,意識的に歩くように心がければ増やせると思う,2010年,179.0,6472.0
57,30歳-39歳,いいえ,女性,時間がないから増やせないと思う,2010年,477.0,6762.0
58,30歳-39歳,いいえ,女性,歩くことが好きではないから増やせないと思う,2010年,541.0,6684.0
59,30歳-39歳,いいえ,女性,歩く場所がないから増やせないと思う,2010年,532.0,6627.0
60,30歳-39歳,いいえ,女性,現在、十分に歩いているから増やせないと思う,2010年,527.0,6579.0
61,30歳-39歳,いいえ,女性,病気など健康上の理由から増やせないと思う,2010年,539.0,6710.0
62,30歳-39歳,いいえ,女性,面倒だから増やせないと思う,2010年,513.0,6745.0
63,30歳-39歳,いいえ,男性,あてはまるものがない,2010年,453.0,8289.0
64,30歳-39歳,いいえ,男性,家事でよく身体を動かすようにすれば増やせると思う,2010年,458.0,8279.0
65,30歳-39歳,いいえ,男性,意識的に歩くように心がければ増やせると思う,2010年,181.0,8649.0
66,30歳-39歳,いいえ,男性,時間がないから増やせないと思う,2010年,393.0,8411.0
67,30歳-39歳,いいえ,男性,歩くことが好きではないから増やせないと思う,2010年,452.0,8318.0
68,30歳-39歳,いいえ,男性,歩く場所がないから増やせないと思う,2010年,455.0,8341.0
69,30歳-39歳,いいえ,男性,現在、十分に歩いているから増やせないと思う,2010年,398.0,7778.0
70,30歳-39歳,いいえ,男性,病気など健康上の理由から増やせないと思う,2010年,465.0,8279.0
71,30歳-39歳,いいえ,男性,面倒だから増やせないと思う,2010年,428.0,8304.0
72,30歳-39歳,いいえ,総数,あてはまるものがない,2010年,1001.0,7411.0
73,30歳-39歳,いいえ,総数,家事でよく身体を動かすようにすれば増やせると思う,2010年,876.0,7469.0
74,30歳-39歳,いいえ,総数,意識的に歩くように心がければ増やせると思う,2010年,360.0,7566.0
75,30歳-39歳,いいえ,総数,時間がないから増やせないと思う,2010年,870.0,7507.0
76,30歳-39歳,いいえ,総数,歩くことが好きではないから増やせないと思う,2010年,993.0,7428.0
77,30歳-39歳,いいえ,総数,歩く場所がないから増やせないと思う,2010年,987.0,7417.0
78,30歳-39歳,いいえ,総数,現在、十分に歩いているから増やせないと思う,2010年,925.0,7095.0
79,30歳-39歳,いいえ,総数,病気など健康上の理由から増やせないと思う,2010年,1004.0,7436.0
80,30歳-39歳,いいえ,総数,面倒だから増やせないと思う,2010年,941.0,7454.0
81,30歳-39歳,はい,女性,あてはまるものがない,2010年,6.0,5488.0
82,30歳-39歳,はい,女性,家事でよく身体を動かすようにすれば増やせると思う,2010年,136.0,6946.0
83,30歳-39歳,はい,女性,意識的に歩くように心がければ増やせると思う,2010年,375.0,6767.0
84,30歳-39歳,はい,女性,時間がないから増やせないと思う,2010年,77.0,6113.0
85,30歳-39歳,はい,女性,歩くことが好きではないから増やせないと思う,2010年,13.0,6169.0
86,30歳-39歳,はい,女性,歩く場所がないから増やせないと思う,2010年,22.0,7764.0
87,30歳-39歳,はい,女性,現在、十分に歩いているから増やせないと思う,2010年,27.0,8483.0
88,30歳-39歳,はい,女性,病気など健康上の理由から増やせないと思う,2010年,15.0,5307.0
89,30歳-39歳,はい,女性,面倒だから増やせないと思う,2010年,41.0,5759.0
90,30歳-39歳,はい,男性,あてはまるものがない,2010年,14.0,7588.0
91,30歳-39歳,はい,男性,家事でよく身体を動かすようにすれば増やせると思う,2010年,9.0,7734.0
92,30歳-39歳,はい,男性,意識的に歩くように心がければ増やせると思う,2010年,286.0,8027.0
93,30歳-39歳,はい,男性,時間がないから増やせないと思う,2010年,74.0,7510.0
94,30歳-39歳,はい,男性,歩くことが好きではないから増やせないと思う,2010年,15.0,6766.0
95,30歳-39歳,はい,男性,歩く場所がないから増やせないと思う,2010年,12.0,5516.0
96,30歳-39歳,はい,男性,現在、十分に歩いているから増やせないと思う,2010年,69.0,11095.0
97,30歳-39歳,はい,男性,病気など健康上の理由から増やせないと思う,2010年,2.0,5835.0
98,30歳-39歳,はい,男性,面倒だから増やせないと思う,2010年,39.0,7873.0
99,30歳-39歳,はい,総数,あてはまるものがない,2010年,20.0,6958.0
100,30歳-39歳,はい,総数,家事でよく身体を動かすようにすれば増やせると思う,2010年,145.0,6995.0
101,30歳-39歳,はい,総数,意識的に歩くように心がければ増やせると思う,2010年,661.0,7312.0
102,30歳-39歳,はい,総数,時間がないから増やせないと思う,2010年,151.0,6798.0
103,30歳-39歳,はい,総数,歩くことが好きではないから増やせないと思う,2010年,28.0,6489.0
104,30歳-39歳,はい,総数,歩く場所がないから増やせないと思う,2010年,34.0,6970.0
105,30歳-39歳,はい,総数,現在、十分に歩いているから増やせないと思う,2010年,96.0,10360.0
106,30歳-39歳,はい,総数,病気など健康上の理由から増やせないと思う,2010年,17.0,5369.0
107,30歳-39歳,はい,総数,面倒だから増やせないと思う,2010年,80.0,6790.0
108,40歳-49歳,いいえ,女性,あてはまるものがない,2010年,540.0,6968.0
109,40歳-49歳,いいえ,女性,家事でよく身体を動かすようにすれば増やせると思う,2010年,415.0,6968.0
110,40歳-49歳,いいえ,女性,意識的に歩くように心がければ増やせると思う,2010年,178.0,7027.0
111,40歳-49歳,いいえ,女性,時間がないから増やせないと思う,2010年,462.0,7144.0
112,40歳-49歳,いいえ,女性,歩くことが好きではないから増やせないと思う,2010年,533.0,7011.0
113,40歳-49歳,いいえ,女性,歩く場所がないから増やせないと思う,2010年,539.0,7031.0
114,40歳-49歳,いいえ,女性,現在、十分に歩いているから増やせないと思う,2010年,511.0,6829.0
115,40歳-49歳,いいえ,女性,病気など健康上の理由から増やせないと思う,2010年,533.0,7072.0
116,40歳-49歳,いいえ,女性,面倒だから増やせないと思う,2010年,516.0,7085.0
117,40歳-49歳,いいえ,男性,あてはまるものがない,2010年,469.0,7783.0
118,40歳-49歳,いいえ,男性,家事でよく身体を動かすようにすれば増やせると思う,2010年,470.0,7881.0
119,40歳-49歳,いいえ,男性,意識的に歩くように心がければ増やせると思う,2010年,168.0,8585.0
120,40歳-49歳,いいえ,男性,時間がないから増やせないと思う,2010年,399.0,7918.0
121,40歳-49歳,いいえ,男性,歩くことが好きではないから増やせないと思う,2010年,472.0,7889.0
122,40歳-49歳,いいえ,男性,歩く場所がないから増やせないと思う,2010年,482.0,7886.0
123,40歳-49歳,いいえ,男性,現在、十分に歩いているから増やせないと思う,2010年,439.0,7555.0
124,40歳-49歳,いいえ,男性,病気など健康上の理由から増やせないと思う,2010年,483.0,7877.0
125,40歳-49歳,いいえ,男性,面倒だから増やせないと思う,2010年,449.0,7974.0
126,40歳-49歳,いいえ,総数,あてはまるものがない,2010年,1009.0,7347.0
127,40歳-49歳,いいえ,総数,家事でよく身体を動かすようにすれば増やせると思う,2010年,885.0,7453.0
128,40歳-49歳,いいえ,総数,意識的に歩くように心がければ増やせると思う,2010年,346.0,7784.0
129,40歳-49歳,いいえ,総数,時間がないから増やせないと思う,2010年,861.0,7503.0
130,40歳-49歳,いいえ,総数,歩くことが好きではないから増やせないと思う,2010年,1005.0,7423.0
131,40歳-49歳,いいえ,総数,歩く場所がないから増やせないと思う,2010年,1021.0,7435.0
132,40歳-49歳,いいえ,総数,現在、十分に歩いているから増やせないと思う,2010年,950.0,7165.0
133,40歳-49歳,いいえ,総数,病気など健康上の理由から増やせないと思う,2010年,1016.0,7455.0
134,40歳-49歳,いいえ,総数,面倒だから増やせないと思う,2010年,965.0,7499.0
135,40歳-49歳,はい,女性,あてはまるものがない,2010年,5.0,10442.0
136,40歳-49歳,はい,女性,家事でよく身体を動かすようにすれば増やせると思う,2010年,130.0,7104.0
137,40歳-49歳,はい,女性,意識的に歩くように心がければ増やせると思う,2010年,367.0,6987.0
138,40歳-49歳,はい,女性,時間がないから増やせないと思う,2010年,83.0,6197.0
139,40歳-49歳,はい,女性,歩くことが好きではないから増やせないと思う,2010年,12.0,6535.0
140,40歳-49歳,はい,女性,歩く場所がないから増やせないと思う,2010年,6.0,4234.0
141,40歳-49歳,はい,女性,現在、十分に歩いているから増やせないと思う,2010年,34.0,9570.0
142,40歳-49歳,はい,女性,病気など健康上の理由から増やせないと思う,2010年,12.0,3801.0
143,40歳-49歳,はい,女性,面倒だから増やせないと思う,2010年,29.0,5492.0
144,40歳-49歳,はい,男性,あてはまるものがない,2010年,17.0,10173.0
145,40歳-49歳,はい,男性,家事でよく身体を動かすようにすれば増やせると思う,2010年,16.0,7454.0
146,40歳-49歳,はい,男性,意識的に歩くように心がければ増やせると思う,2010年,318.0,7488.0
147,40歳-49歳,はい,男性,時間がないから増やせないと思う,2010年,87.0,7632.0
148,40歳-49歳,はい,男性,歩くことが好きではないから増やせないと思う,2010年,14.0,7131.0
149,40歳-49歳,はい,男性,歩く場所がないから増やせないと思う,2010年,4.0,5572.0
150,40歳-49歳,はい,男性,現在、十分に歩いているから増やせないと思う,2010年,47.0,10778.0
151,40歳-49歳,はい,男性,病気など健康上の理由から増やせないと思う,2010年,3.0,6257.0
152,40歳-49歳,はい,男性,面倒だから増やせないと思う,2010年,37.0,6567.0
153,40歳-49歳,はい,総数,あてはまるものがない,2010年,22.0,10234.0
154,40歳-49歳,はい,総数,家事でよく身体を動かすようにすれば増やせると思う,2010年,146.0,7142.0
155,40歳-49歳,はい,総数,意識的に歩くように心がければ増やせると思う,2010年,685.0,7219.0
156,40歳-49歳,はい,総数,時間がないから増やせないと思う,2010年,170.0,6931.0
157,40歳-49歳,はい,総数,歩くことが好きではないから増やせないと思う,2010年,26.0,6856.0
158,40歳-49歳,はい,総数,歩く場所がないから増やせないと思う,2010年,10.0,4769.0
159,40歳-49歳,はい,総数,現在、十分に歩いているから増やせないと思う,2010年,81.0,10271.0
160,40歳-49歳,はい,総数,病気など健康上の理由から増やせないと思う,2010年,15.0,4292.0
161,40歳-49歳,はい,総数,面倒だから増やせないと思う,2010年,66.0,6095.0
162,50歳-59歳,いいえ,女性,あてはまるものがない,2010年,602.0,7170.0
163,50歳-59歳,いいえ,女性,家事でよく身体を動かすようにすれば増やせると思う,2010年,469.0,7313.0
164,50歳-59歳,いいえ,女性,意識的に歩くように心がければ増やせると思う,2010年,205.0,6808.0
165,50歳-59歳,いいえ,女性,時間がないから増やせないと思う,2010年,538.0,7256.0
166,50歳-59歳,いいえ,女性,歩くことが好きではないから増やせないと思う,2010年,595.0,7237.0
167,50歳-59歳,いいえ,女性,歩く場所がないから増やせないと思う,2010年,613.0,7213.0
168,50歳-59歳,いいえ,女性,現在、十分に歩いているから増やせないと思う,2010年,550.0,7054.0
169,50歳-59歳,いいえ,女性,病気など健康上の理由から増やせないと思う,2010年,591.0,7327.0
170,50歳-59歳,いいえ,女性,面倒だから増やせないと思う,2010年,602.0,7235.0
171,50歳-59歳,いいえ,男性,あてはまるものがない,2010年,501.0,7662.0
172,50歳-59歳,いいえ,男性,家事でよく身体を動かすようにすれば増やせると思う,2010年,497.0,7688.0
173,50歳-59歳,いいえ,男性,意識的に歩くように心がければ増やせると思う,2010年,196.0,7853.0
174,50歳-59歳,いいえ,男性,時間がないから増やせないと思う,2010年,443.0,7747.0
175,50歳-59歳,いいえ,男性,歩くことが好きではないから増やせないと思う,2010年,499.0,7722.0
176,50歳-59歳,いいえ,男性,歩く場所がないから増やせないと思う,2010年,509.0,7685.0
177,50歳-59歳,いいえ,男性,現在、十分に歩いているから増やせないと思う,2010年,450.0,7341.0
178,50歳-59歳,いいえ,男性,病気など健康上の理由から増やせないと思う,2010年,508.0,7740.0
179,50歳-59歳,いいえ,男性,面倒だから増やせないと思う,2010年,485.0,7757.0
180,50歳-59歳,いいえ,総数,あてはまるものがない,2010年,1103.0,7393.0
181,50歳-59歳,いいえ,総数,家事でよく身体を動かすようにすれば増やせると思う,2010年,966.0,7506.0
182,50歳-59歳,いいえ,総数,意識的に歩くように心がければ増やせると思う,2010年,401.0,7319.0
183,50歳-59歳,いいえ,総数,時間がないから増やせないと思う,2010年,981.0,7478.0
184,50歳-59歳,いいえ,総数,歩くことが好きではないから増やせないと思う,2010年,1094.0,7458.0
185,50歳-59歳,いいえ,総数,歩く場所がないから増やせないと思う,2010年,1122.0,7428.0
186,50歳-59歳,いいえ,総数,現在、十分に歩いているから増やせないと思う,2010年,1000.0,7183.0
187,50歳-59歳,いいえ,総数,病気など健康上の理由から増やせないと思う,2010年,1099.0,7518.0
188,50歳-59歳,いいえ,総数,面倒だから増やせないと思う,2010年,1087.0,7468.0
189,50歳-59歳,はい,女性,あてはまるものがない,2010年,15.0,8273.0
190,50歳-59歳,はい,女性,家事でよく身体を動かすようにすれば増やせると思う,2010年,148.0,6826.0
191,50歳-59歳,はい,女性,意識的に歩くように心がければ増やせると思う,2010年,412.0,7390.0
192,50歳-59歳,はい,女性,時間がないから増やせないと思う,2010年,79.0,6789.0
193,50歳-59歳,はい,女性,歩くことが好きではないから増やせないと思う,2010年,22.0,6095.0
194,50歳-59歳,はい,女性,歩く場所がないから増やせないと思う,2010年,4.0,4572.0
195,50歳-59歳,はい,女性,現在、十分に歩いているから増やせないと思う,2010年,67.0,8368.0
196,50歳-59歳,はい,女性,病気など健康上の理由から増やせないと思う,2010年,26.0,4236.0
197,50歳-59歳,はい,女性,面倒だから増やせないと思う,2010年,15.0,5643.0
198,50歳-59歳,はい,男性,あてはまるものがない,2010年,17.0,8058.0
199,50歳-59歳,はい,男性,家事でよく身体を動かすようにすれば増やせると思う,2010年,21.0,7359.0
200,50歳-59歳,はい,男性,意識的に歩くように心がければ増やせると思う,2010年,322.0,7567.0
201,50歳-59歳,はい,男性,時間がないから増やせないと思う,2010年,75.0,7252.0
202,50歳-59歳,はい,男性,歩くことが好きではないから増やせないと思う,2010年,19.0,6440.0
203,50歳-59歳,はい,男性,歩く場所がないから増やせないと思う,2010年,9.0,7091.0
204,50歳-59歳,はい,男性,現在、十分に歩いているから増やせないと思う,2010年,68.0,9885.0
205,50歳-59歳,はい,男性,病気など健康上の理由から増やせないと思う,2010年,10.0,4396.0
206,50歳-59歳,はい,男性,面倒だから増やせないと思う,2010年,33.0,6464.0
207,50歳-59歳,はい,総数,あてはまるものがない,2010年,32.0,8159.0
208,50歳-59歳,はい,総数,家事でよく身体を動かすようにすれば増やせると思う,2010年,169.0,6892.0
209,50歳-59歳,はい,総数,意識的に歩くように心がければ増やせると思う,2010年,734.0,7467.0
210,50歳-59歳,はい,総数,時間がないから増やせないと思う,2010年,154.0,7014.0
211,50歳-59歳,はい,総数,歩くことが好きではないから増やせないと思う,2010年,41.0,6255.0
212,50歳-59歳,はい,総数,歩く場所がないから増やせないと思う,2010年,13.0,6316.0
213,50歳-59歳,はい,総数,現在、十分に歩いているから増やせないと思う,2010年,135.0,9132.0
214,50歳-59歳,はい,総数,病気など健康上の理由から増やせないと思う,2010年,36.0,4280.0
215,50歳-59歳,はい,総数,面倒だから増やせないと思う,2010年,48.0,6208.0
216,60歳-69歳,いいえ,女性,あてはまるものがない,2010年,800.0,6284.0
217,60歳-69歳,いいえ,女性,家事でよく身体を動かすようにすれば増やせると思う,2010年,614.0,6202.0
218,60歳-69歳,いいえ,女性,意識的に歩くように心がければ増やせると思う,2010年,238.0,5900.0
219,60歳-69歳,いいえ,女性,時間がないから増やせないと思う,2010年,777.0,6339.0
220,60歳-69歳,いいえ,女性,歩くことが好きではないから増やせないと思う,2010年,797.0,6274.0
221,60歳-69歳,いいえ,女性,歩く場所がないから増やせないと思う,2010年,812.0,6257.0
222,60歳-69歳,いいえ,女性,現在、十分に歩いているから増やせないと思う,2010年,734.0,5923.0
223,60歳-69歳,いいえ,女性,病気など健康上の理由から増やせないと思う,2010年,743.0,6484.0
224,60歳-69歳,いいえ,女性,面倒だから増やせないと思う,2010年,798.0,6292.0
225,60歳-69歳,いいえ,男性,あてはまるものがない,2010年,683.0,7101.0
226,60歳-69歳,いいえ,男性,家事でよく身体を動かすようにすれば増やせると思う,2010年,661.0,7112.0
227,60歳-69歳,いいえ,男性,意識的に歩くように心がければ増やせると思う,2010年,231.0,6826.0
228,60歳-69歳,いいえ,男性,時間がないから増やせないと思う,2010年,668.0,7148.0
229,60歳-69歳,いいえ,男性,歩くことが好きではないから増やせないと思う,2010年,666.0,7201.0
230,60歳-69歳,いいえ,男性,歩く場所がないから増やせないと思う,2010年,698.0,7096.0
231,60歳-69歳,いいえ,男性,現在、十分に歩いているから増やせないと思う,2010年,603.0,6696.0
232,60歳-69歳,いいえ,男性,病気など健康上の理由から増やせないと思う,2010年,667.0,7317.0
233,60歳-69歳,いいえ,男性,面倒だから増やせないと思う,2010年,680.0,7186.0
234,60歳-69歳,いいえ,総数,あてはまるものがない,2010年,1483.0,6660.0
235,60歳-69歳,いいえ,総数,家事でよく身体を動かすようにすれば増やせると思う,2010年,1275.0,6674.0
236,60歳-69歳,いいえ,総数,意識的に歩くように心がければ増やせると思う,2010年,469.0,6356.0
237,60歳-69歳,いいえ,総数,時間がないから増やせないと思う,2010年,1445.0,6713.0
238,60歳-69歳,いいえ,総数,歩くことが好きではないから増やせないと思う,2010年,1463.0,6696.0
239,60歳-69歳,いいえ,総数,歩く場所がないから増やせないと思う,2010年,1510.0,6645.0
240,60歳-69歳,いいえ,総数,現在、十分に歩いているから増やせないと思う,2010年,1337.0,6272.0
241,60歳-69歳,いいえ,総数,病気など健康上の理由から増やせないと思う,2010年,1410.0,6878.0
242,60歳-69歳,いいえ,総数,面倒だから増やせないと思う,2010年,1478.0,6703.0
243,60歳-69歳,はい,女性,あてはまるものがない,2010年,14.0,4444.0
244,60歳-69歳,はい,女性,家事でよく身体を動かすようにすれば増やせると思う,2010年,200.0,6407.0
245,60歳-69歳,はい,女性,意識的に歩くように心がければ増やせると思う,2010年,576.0,6398.0
246,60歳-69歳,はい,女性,時間がないから増やせないと思う,2010年,37.0,4430.0
247,60歳-69歳,はい,女性,歩くことが好きではないから増やせないと思う,2010年,17.0,5216.0
248,60歳-69歳,はい,女性,歩く場所がないから増やせないと思う,2010年,2.0,4325.0
249,60歳-69歳,はい,女性,現在、十分に歩いているから増やせないと思う,2010年,80.0,9272.0
250,60歳-69歳,はい,女性,病気など健康上の理由から増やせないと思う,2010年,71.0,3825.0
251,60歳-69歳,はい,女性,面倒だから増やせないと思う,2010年,16.0,4283.0
252,60歳-69歳,はい,男性,あてはまるものがない,2010年,21.0,6986.0
253,60歳-69歳,はい,男性,家事でよく身体を動かすようにすれば増やせると思う,2010年,43.0,6870.0
254,60歳-69歳,はい,男性,意識的に歩くように心がければ増やせると思う,2010年,473.0,7230.0
255,60歳-69歳,はい,男性,時間がないから増やせないと思う,2010年,36.0,6157.0
256,60歳-69歳,はい,男性,歩くことが好きではないから増やせないと思う,2010年,38.0,5283.0
257,60歳-69歳,はい,男性,歩く場所がないから増やせないと思う,2010年,6.0,7192.0
258,60歳-69歳,はい,男性,現在、十分に歩いているから増やせないと思う,2010年,101.0,9491.0
259,60歳-69歳,はい,男性,病気など健康上の理由から増やせないと思う,2010年,37.0,3139.0
260,60歳-69歳,はい,男性,面倒だから増やせないと思う,2010年,24.0,4570.0
261,60歳-69歳,はい,総数,あてはまるものがない,2010年,35.0,5969.0
262,60歳-69歳,はい,総数,家事でよく身体を動かすようにすれば増やせると思う,2010年,243.0,6489.0
263,60歳-69歳,はい,総数,意識的に歩くように心がければ増やせると思う,2010年,1049.0,6773.0
264,60歳-69歳,はい,総数,時間がないから増やせないと思う,2010年,73.0,5282.0
265,60歳-69歳,はい,総数,歩くことが好きではないから増やせないと思う,2010年,55.0,5262.0
266,60歳-69歳,はい,総数,歩く場所がないから増やせないと思う,2010年,8.0,6475.0
267,60歳-69歳,はい,総数,現在、十分に歩いているから増やせないと思う,2010年,181.0,9394.0
268,60歳-69歳,はい,総数,病気など健康上の理由から増やせないと思う,2010年,108.0,3590.0
269,60歳-69歳,はい,総数,面倒だから増やせないと思う,2010年,40.0,4455.0
270,70歳以上,いいえ,女性,あてはまるものがない,2010年,794.0,3935.0
271,70歳以上,いいえ,女性,家事でよく身体を動かすようにすれば増やせると思う,2010年,668.0,3800.0
272,70歳以上,いいえ,女性,意識的に歩くように心がければ増やせると思う,2010年,391.0,3103.0
273,70歳以上,いいえ,女性,時間がないから増やせないと思う,2010年,800.0,3897.0
274,70歳以上,いいえ,女性,歩くことが好きではないから増やせないと思う,2010年,805.0,3895.0
275,70歳以上,いいえ,女性,歩く場所がないから増やせないと思う,2010年,813.0,3895.0
276,70歳以上,いいえ,女性,現在、十分に歩いているから増やせないと思う,2010年,700.0,3676.0
277,70歳以上,いいえ,女性,病気など健康上の理由から増やせないと思う,2010年,632.0,4411.0
278,70歳以上,いいえ,女性,面倒だから増やせないと思う,2010年,805.0,3924.0
279,70歳以上,いいえ,男性,あてはまるものがない,2010年,637.0,4933.0
280,70歳以上,いいえ,男性,家事でよく身体を動かすようにすれば増やせると思う,2010年,593.0,4889.0
281,70歳以上,いいえ,男性,意識的に歩くように心がければ増やせると思う,2010年,268.0,4443.0
282,70歳以上,いいえ,男性,時間がないから増やせないと思う,2010年,641.0,4928.0
283,70歳以上,いいえ,男性,歩くことが好きではないから増やせないと思う,2010年,631.0,4955.0
284,70歳以上,いいえ,男性,歩く場所がないから増やせないと思う,2010年,651.0,4912.0
285,70歳以上,いいえ,男性,現在、十分に歩いているから増やせないと思う,2010年,546.0,4319.0
286,70歳以上,いいえ,男性,病気など健康上の理由から増やせないと思う,2010年,558.0,5370.0
287,70歳以上,いいえ,男性,面倒だから増やせないと思う,2010年,638.0,4954.0
288,70歳以上,いいえ,総数,あてはまるものがない,2010年,1431.0,4379.0
289,70歳以上,いいえ,総数,家事でよく身体を動かすようにすれば増やせると思う,2010年,1261.0,4312.0
290,70歳以上,いいえ,総数,意識的に歩くように心がければ増やせると思う,2010年,659.0,3648.0
291,70歳以上,いいえ,総数,時間がないから増やせないと思う,2010年,1441.0,4356.0
292,70歳以上,いいえ,総数,歩くことが好きではないから増やせないと思う,2010年,1436.0,4361.0
293,70歳以上,いいえ,総数,歩く場所がないから増やせないと思う,2010年,1464.0,4347.0
294,70歳以上,いいえ,総数,現在、十分に歩いているから増やせないと思う,2010年,1246.0,3958.0
295,70歳以上,いいえ,総数,病気など健康上の理由から増やせないと思う,2010年,1190.0,4861.0
296,70歳以上,いいえ,総数,面倒だから増やせないと思う,2010年,1443.0,4379.0
297,70歳以上,はい,女性,あてはまるものがない,2010年,24.0,2077.0
298,70歳以上,はい,女性,家事でよく身体を動かすようにすれば増やせると思う,2010年,150.0,4238.0
